year;age;sex;maritl;race;education;jobclass;health;health_ins;logwage;wage
2003;28;Male;Married;Other; HS Grad; Industrial;Muy Buena o Excelente; No;4.48;87.98
2009;28;Male;Never Married;White; HS Grad; Industrial;Muy Buena o Excelente; No;4.19;66.23
2007;32;Male;Never Married;White; Advanced Degree; Industrial;Regular o Mala; Yes;4.57;96.37
2008;36;Male;Married;White; Some College; Industrial;Regular o Mala; No;4.58;97.16
2004;51;Male;Married;White; College Grad; Industrial;Regular o Mala; Yes;4.81;123.09
2005;35;Male;Married;Black; College Grad; Information;Muy Buena o Excelente; Yes;4.6;99.69
2004;46;Male;Separated;White; HS Grad; Industrial;Muy Buena o Excelente; No;4.54;94.07
2003;38;Male;Married;White; College Grad; Industrial;Muy Buena o Excelente; Yes;4.4;81.28
2004;43;Male;Married;Asian; College Grad; Information;Muy Buena o Excelente; No;5.04;154.69
2004;39;Male;Married;White; HS Grad; Industrial;Muy Buena o Excelente; No;4.7;109.83
2007;37;Male;Divorced;White; Some College; Industrial;Muy Buena o Excelente; Yes;4.81;123.09
2008;59;Male;Divorced;White; Advanced Degree; Information;Regular o Mala; Yes;4.3;73.78
2003;33;Male;Married;White; College Grad; Industrial;Regular o Mala; No;4.68;107.9
2007;23;Male;Never Married;White; Some College; Industrial;Muy Buena o Excelente; No;4.3;73.78
2006;37;Male;Never Married;White; Some College; Industrial;Muy Buena o Excelente; No;4.48;87.98
2005;40;Male;Married;White; HS Grad; Industrial;Regular o Mala; No;3.3;27.14
2006;25;Male;Married;White; Some College; Information;Muy Buena o Excelente; Yes;4.54;94.07
2008;27;Male;Never Married;White; College Grad; Industrial;Muy Buena o Excelente; Yes;4.63;102.45
2008;52;Male;Married;Black; College Grad; Industrial;Muy Buena o Excelente; No;4.54;94.07
2007;23;Male;Never Married;White; HS Grad; Information;Muy Buena o Excelente; No;4.4;81.28
2004;33;Male;Married;White; College Grad; Information;Regular o Mala; No;4.48;87.98
2005;37;Male;Never Married;Asian; College Grad; Information;Regular o Mala; Yes;4.7;109.83
2008;34;Male;Married;White; HS Grad; Industrial;Regular o Mala; No;4.39;80.43
2003;51;Male;Separated;White; HS Grad; Industrial;Regular o Mala; Yes;500;148.41
2007;40;Male;Divorced;White; Some College; Industrial;Muy Buena o Excelente; Yes;500;148.41
2007;50;Male;Married;White; HS Grad; Information;Regular o Mala; Yes;4.4;81.28
2005;64;Male;Married;White; Some College; Industrial;Muy Buena o Excelente; Yes;4.78;118.88
2008;54;Male;Married;White;  < HS Grad; Industrial;Regular o Mala; Yes;4.39;80.49
2003;50;Male;Married;Black; HS Grad; Information;Muy Buena o Excelente; Yes;4.52;91.7
2004;32;Male;Married;White; College Grad; Information;Muy Buena o Excelente; Yes;4.69;109.36
2004;37;Male;Married;Black; College Grad; Information;Regular o Mala; Yes;4.65;104.92
2006;19;Male;Never Married;White;  < HS Grad; Industrial;Muy Buena o Excelente; No;4.18;65.11
2006;32;Male;Married;White; HS Grad; Industrial;Muy Buena o Excelente; Yes;4.34;76.89
2004;42;Male;Married;White; Some College; Industrial;Regular o Mala; Yes;4.6;99.69
2009;26;Male;Never Married;White; Some College; Industrial;Regular o Mala; No;4.6;99.69
2009;46;Male;Married;White; Advanced Degree; Information;Muy Buena o Excelente; Yes;5.06;157.7
2009;18;Male;Never Married;White;  < HS Grad; Industrial;Regular o Mala; No;3.9;49.56
2005;43;Male;Married;White; HS Grad; Information;Regular o Mala; Yes;4.51;90.48
2003;62;Male;Married;White; Some College; Industrial;Muy Buena o Excelente; Yes;4.72;111.72
2008;44;Male;Married;White; HS Grad; Industrial;Muy Buena o Excelente; Yes;500;148.41
2005;40;Male;Married;White; Some College; Information;Regular o Mala; Yes;4.89;133.23
2006;43;Male;Married;White; HS Grad; Industrial;Regular o Mala; Yes;4.9;134.71
2004;32;Male;Never Married;Asian; College Grad; Industrial;Muy Buena o Excelente; Yes;4.78;118.88
2006;48;Male;Never Married;Black; HS Grad; Information;Muy Buena o Excelente; Yes;4.48;87.98
2009;35;Male;Married;White; Some College; Information;Muy Buena o Excelente; Yes;4.7;109.83
2006;61;Male;Married;White; Some College; Information;Regular o Mala; Yes;4.88;130.98
2006;47;Male;Married;White;  < HS Grad; Industrial;Muy Buena o Excelente; Yes;4.49;89.24
2005;55;Male;Divorced;White; HS Grad; Information;Muy Buena o Excelente; Yes;4.63;102.87
2008;28;Male;Divorced;Other; HS Grad; Industrial;Muy Buena o Excelente; Yes;4.34;76.89
2008;52;Male;Married;White; Advanced Degree; Industrial;Regular o Mala; No;5.01;149.7
2009;27;Male;Never Married;Black; Advanced Degree; Information;Muy Buena o Excelente; Yes;4.63;102.87
2006;22;Male;Married;Black; Some College; Information;Muy Buena o Excelente; Yes;4.51;90.48
2006;20;Male;Never Married;White; HS Grad; Industrial;Regular o Mala; No;4.25;69.93
2006;42;Male;Married;White; HS Grad; Information;Regular o Mala; Yes;4.67;106.92
2007;29;Male;Married;White; College Grad; Industrial;Muy Buena o Excelente; No;4.48;87.98
2003;31;Male;Never Married;White; College Grad; Information;Regular o Mala; Yes;4.7;109.83
2008;59;Male;Divorced;White; Some College; Information;Regular o Mala; Yes;5.02;151.59
2008;36;Male;Married;White; Advanced Degree; Industrial;Muy Buena o Excelente; Yes;500;148.41
2007;32;Male;Married;White;  < HS Grad; Industrial;Regular o Mala; No;4.2;66.96
2005;32;Male;Never Married;White; Some College; Information;Regular o Mala; Yes;4.64;103.9
2006;25;Male;Never Married;White; Some College; Information;Muy Buena o Excelente; Yes;4.6;99.69
2008;43;Male;Married;White; Some College; Information;Muy Buena o Excelente; No;4.9;134.71
2008;44;Male;Never Married;White; HS Grad; Industrial;Regular o Mala; No;3.78;43.74
2009;57;Male;Married;White; Some College; Industrial;Muy Buena o Excelente; No;4.76;116.71
2006;49;Male;Married;Black; College Grad; Information;Muy Buena o Excelente; Yes;4.95;141.78
2007;41;Male;Married;White; HS Grad; Information;Muy Buena o Excelente; Yes;4.97;144.48
2006;38;Male;Married;White; College Grad; Industrial;Muy Buena o Excelente; Yes;4.9;134.71
2004;58;Male;Married;White;  < HS Grad; Information;Regular o Mala; Yes;4.78;118.88
2004;59;Male;Married;Asian; Advanced Degree; Information;Muy Buena o Excelente; No;5.24;189.24
2005;39;Male;Married;White; Advanced Degree; Information;Muy Buena o Excelente; Yes;5.08;160.64
2006;60;Male;Married;White; Some College; Industrial;Regular o Mala; Yes;4.56;96.03
2007;56;Male;Married;White; HS Grad; Information;Regular o Mala; Yes;4.71;111.07
2008;44;Male;Married;White; Some College; Industrial;Muy Buena o Excelente; Yes;500;148.41
2008;70;Male;Married;Black; Some College; Information;Muy Buena o Excelente; Yes;4.6;99.69
2009;27;Male;Never Married;White; College Grad; Information;Muy Buena o Excelente; No;4.4;81.28
2004;47;Male;Married;White; HS Grad; Industrial;Regular o Mala; No;4.78;118.88
2003;41;Male;Married;White; Some College; Industrial;Muy Buena o Excelente; No;4.85;127.12
2008;29;Male;Married;White; Some College; Industrial;Muy Buena o Excelente; Yes;4.65;104.92
2009;42;Male;Married;White;  < HS Grad; Industrial;Muy Buena o Excelente; Yes;4.72;112.65
2009;47;Male;Married;White; HS Grad; Industrial;Muy Buena o Excelente; Yes;4.74;114.48
2008;48;Male;Married;Black; HS Grad; Industrial;Regular o Mala; Yes;4.72;111.72
2003;39;Male;Married;White; HS Grad; Industrial;Muy Buena o Excelente; No;4.9;134.71
2005;23;Male;Never Married;White; HS Grad; Industrial;Muy Buena o Excelente; Yes;4.32;75.36
2007;31;Male;Married;White; Some College; Industrial;Muy Buena o Excelente; No;4.79;119.74
2005;59;Male;Married;White; HS Grad; Industrial;Regular o Mala; Yes;4.78;118.88
2003;19;Male;Never Married;White;  < HS Grad; Industrial;Muy Buena o Excelente; No;3.3;27.14
2009;42;Male;Married;White; Advanced Degree; Information;Muy Buena o Excelente; Yes;5.2;182.02
2004;35;Male;Married;Asian; HS Grad; Industrial;Muy Buena o Excelente; No;4.18;65.11
2007;38;Male;Married;White; Advanced Degree; Information;Regular o Mala; Yes;4.95;141.78
2006;45;Male;Married;White; Some College; Information;Muy Buena o Excelente; Yes;4.74;114.48
2008;58;Male;Married;White; Advanced Degree; Industrial;Muy Buena o Excelente; No;4.91;135.6
2006;26;Male;Never Married;White; Some College; Information;Muy Buena o Excelente; Yes;4.76;117.15
2003;30;Male;Never Married;Asian; HS Grad; Information;Muy Buena o Excelente; No;4.6;99.69
2008;38;Male;Married;White; HS Grad; Industrial;Muy Buena o Excelente; Yes;4.54;94.07
2005;44;Male;Married;Asian; HS Grad; Industrial;Muy Buena o Excelente; Yes;4.54;94.07
2003;52;Male;Married;White; College Grad; Information;Muy Buena o Excelente; No;4.57;96.37
2004;73;Male;Divorced;White; HS Grad; Industrial;Regular o Mala; Yes;4.32;75.36
2006;65;Male;Married;White; Advanced Degree; Information;Muy Buena o Excelente; Yes;4.65;104.92
2003;28;Male;Married;White; College Grad; Information;Regular o Mala; No;4.56;95.23
2009;53;Male;Married;White;  < HS Grad; Industrial;Regular o Mala; Yes;400;54.6
2006;53;Male;Married;White; Some College; Information;Muy Buena o Excelente; Yes;4.49;89.24
2008;52;Male;Married;White; College Grad; Information;Muy Buena o Excelente; Yes;4.98;145.14
2009;27;Male;Never Married;White; HS Grad; Information;Muy Buena o Excelente; Yes;4.57;96.87
2003;57;Male;Married;White;  < HS Grad; Industrial;Muy Buena o Excelente; Yes;4.88;130.98
2004;32;Male;Never Married;White; College Grad; Information;Muy Buena o Excelente; Yes;4.43;84.05
2007;51;Male;Never Married;White; HS Grad; Information;Regular o Mala; Yes;500;148.16
2008;43;Male;Married;White; HS Grad; Information;Muy Buena o Excelente; Yes;3.9;49.56
2004;50;Male;Married;White; Some College; Industrial;Muy Buena o Excelente; Yes;4.95;141.78
2004;53;Male;Married;White; Some College; Information;Muy Buena o Excelente; Yes;4.75;115.38
2007;54;Male;Married;Asian;  < HS Grad; Industrial;Regular o Mala; No;4.18;65.11
2007;24;Male;Never Married;White; HS Grad; Industrial;Muy Buena o Excelente; Yes;4.45;85.38
2008;40;Male;Married;White; HS Grad; Information;Regular o Mala; Yes;4.62;101.82
2003;30;Male;Married;White; College Grad; Industrial;Regular o Mala; Yes;4.56;95.23
2003;45;Male;Married;White; College Grad; Information;Muy Buena o Excelente; Yes;4.6;99.69
2007;55;Male;Divorced;White; College Grad; Industrial;Muy Buena o Excelente; Yes;4.99;147.12
2003;45;Male;Never Married;White; Advanced Degree; Information;Muy Buena o Excelente; Yes;4.94;140.4
2004;44;Male;Never Married;Black; College Grad; Information;Muy Buena o Excelente; Yes;4.7;109.83
2004;37;Male;Widoed;White; College Grad; Information;Muy Buena o Excelente; Yes;4.85;127.12
2008;41;Male;Married;White;  < HS Grad; Industrial;Regular o Mala; Yes;4.75;115.38
2007;44;Male;Married;White; HS Grad; Industrial;Regular o Mala; No;4.08;59.1
2007;52;Male;Never Married;White; HS Grad; Industrial;Muy Buena o Excelente; Yes;4.34;76.89
2009;55;Male;Married;White; College Grad; Information;Muy Buena o Excelente; Yes;4.95;141.78
2003;43;Male;Married;White; HS Grad; Industrial;Muy Buena o Excelente; Yes;4.26;70.91
2006;43;Male;Married;White; HS Grad; Information;Muy Buena o Excelente; Yes;4.58;97.49
2007;46;Male;Married;White; HS Grad; Industrial;Regular o Mala; Yes;4.6;99.69
2003;30;Male;Married;White; Some College; Information;Regular o Mala; Yes;5.23;186.88
2003;43;Male;Married;White;  < HS Grad; Industrial;Muy Buena o Excelente; Yes;4.4;81.28
2005;48;Male;Married;White; Some College; Industrial;Muy Buena o Excelente; Yes;5.08;160.64
2003;33;Male;Never Married;Black;  < HS Grad; Industrial;Muy Buena o Excelente; No;4.16;63.97
2008;29;Male;Never Married;White; Some College; Industrial;Muy Buena o Excelente; Yes;4.48;87.98
2005;24;Male;Never Married;White; HS Grad; Information;Muy Buena o Excelente; No;4.3;73.78
2009;52;Male;Married;White; Some College; Industrial;Muy Buena o Excelente; Yes;4.98;145.14
2005;50;Male;Married;White; Advanced Degree; Industrial;Muy Buena o Excelente; No;4.95;141.78
2005;24;Male;Never Married;White; HS Grad; Industrial;Muy Buena o Excelente; No;4.34;76.89
2003;42;Male;Never Married;White; Some College; Industrial;Muy Buena o Excelente; Yes;4.82;123.91
2004;53;Male;Married;White; College Grad; Industrial;Muy Buena o Excelente; Yes;4.78;118.88
2004;46;Male;Married;White;  < HS Grad; Industrial;Regular o Mala; No;400;54.6
2008;40;Male;Married;White; Some College; Industrial;Muy Buena o Excelente; Yes;5.04;154.69
2003;41;Male;Never Married;Asian; Advanced Degree; Information;Muy Buena o Excelente; Yes;5.19;180.03
2006;41;Male;Married;White; College Grad; Information;Muy Buena o Excelente; Yes;4.78;118.88
2009;36;Male;Married;White; Some College; Industrial;Muy Buena o Excelente; No;4.48;87.98
2003;34;Male;Married;Black; Some College; Information;Regular o Mala; No;4.52;91.7
2004;24;Male;Never Married;White; Some College; Information;Muy Buena o Excelente; No;4.08;59.1
2008;44;Male;Married;White; College Grad; Industrial;Muy Buena o Excelente; Yes;4.82;123.91
2007;33;Male;Married;Black; College Grad; Information;Muy Buena o Excelente; No;4.7;109.83
2007;25;Male;Never Married;White; HS Grad; Industrial;Muy Buena o Excelente; Yes;4.54;94.07
2005;40;Male;Married;White; HS Grad; Industrial;Muy Buena o Excelente; No;4.76;117.15
2007;48;Male;Never Married;Asian; HS Grad; Industrial;Muy Buena o Excelente; No;4.18;65.11
2005;56;Male;Married;White; HS Grad; Industrial;Regular o Mala; No;4.58;97.49
2005;25;Male;Never Married;White; College Grad; Industrial;Muy Buena o Excelente; No;4.77;118.02
2005;44;Male;Married;White; College Grad; Industrial;Muy Buena o Excelente; Yes;4.95;141.78
2003;27;Male;Never Married;White; Some College; Information;Muy Buena o Excelente; Yes;4.76;116.18
2006;58;Male;Married;White;  < HS Grad; Industrial;Regular o Mala; Yes;4.32;75.36
2008;52;Male;Divorced;Black; College Grad; Information;Muy Buena o Excelente; Yes;4.56;95.23
2007;60;Male;Never Married;White; Advanced Degree; Industrial;Regular o Mala; Yes;4.72;111.72
2008;39;Male;Married;White; Some College; Information;Muy Buena o Excelente; Yes;4.64;103.9
2004;51;Male;Married;White; College Grad; Industrial;Muy Buena o Excelente; Yes;4.99;147.12
2007;31;Male;Never Married;White; Some College; Information;Muy Buena o Excelente; Yes;4.48;87.98
2005;45;Male;Widoed;White; HS Grad; Industrial;Muy Buena o Excelente; No;4.78;118.88
2005;43;Male;Never Married;White; College Grad; Information;Muy Buena o Excelente; Yes;4.61;100.76
2008;45;Male;Married;White; College Grad; Industrial;Muy Buena o Excelente; Yes;4.79;120.59
2008;46;Male;Married;White; HS Grad; Industrial;Muy Buena o Excelente; Yes;4.78;118.88
2006;47;Male;Divorced;White; College Grad; Information;Muy Buena o Excelente; Yes;5.16;174.4
2004;52;Male;Married;White; Advanced Degree; Information;Muy Buena o Excelente; Yes;4.9;133.97
2003;31;Male;Divorced;White; HS Grad; Information;Muy Buena o Excelente; Yes;5.04;154.69
2007;40;Male;Married;Black; College Grad; Information;Muy Buena o Excelente; Yes;5.04;154.69
2009;26;Male;Never Married;White; College Grad; Information;Muy Buena o Excelente; Yes;4.78;118.88
2004;49;Male;Married;White; HS Grad; Industrial;Muy Buena o Excelente; No;4.56;95.23
2009;38;Male;Divorced;White; Some College; Industrial;Regular o Mala; No;4.7;109.83
2005;50;Male;Married;Other;  < HS Grad; Information;Regular o Mala; No;4.72;111.72
2006;63;Male;Married;White; Some College; Industrial;Muy Buena o Excelente; Yes;4.9;134.71
2008;35;Male;Married;White;  < HS Grad; Industrial;Muy Buena o Excelente; No;4.45;85.9
2008;29;Male;Never Married;White; HS Grad; Information;Muy Buena o Excelente; No;4.78;118.88
2008;33;Male;Married;White; HS Grad; Industrial;Regular o Mala; Yes;4.48;87.98
2007;29;Male;Married;White; HS Grad; Industrial;Muy Buena o Excelente; No;4.53;92.9
2007;62;Male;Divorced;White; College Grad; Information;Muy Buena o Excelente; Yes;4.7;109.83
2008;45;Male;Married;White; Advanced Degree; Information;Muy Buena o Excelente; Yes;4.83;124.72
2003;56;Male;Married;White;  < HS Grad; Industrial;Muy Buena o Excelente; Yes;4.85;127.9
2003;58;Male;Married;White;  < HS Grad; Industrial;Regular o Mala; No;4.58;97.49
2005;49;Male;Married;White; Some College; Industrial;Muy Buena o Excelente; Yes;4.53;92.9
2004;24;Male;Never Married;White; College Grad; Information;Muy Buena o Excelente; No;4.54;94.07
2003;61;Male;Divorced;White; HS Grad; Industrial;Muy Buena o Excelente; Yes;500;148.41
2008;58;Male;Married;White; College Grad; Industrial;Muy Buena o Excelente; Yes;4.38;79.85
2009;47;Male;Married;Asian; Some College; Information;Muy Buena o Excelente; No;4.78;118.88
2004;41;Male;Separated;White; College Grad; Information;Muy Buena o Excelente; Yes;4.48;87.98
2008;71;Male;Married;White;  < HS Grad; Information;Regular o Mala; Yes;4.54;94.07
2006;47;Male;Married;White; Some College; Industrial;Muy Buena o Excelente; Yes;5.01;150.07
2005;38;Male;Married;White; College Grad; Industrial;Regular o Mala; Yes;5.18;176.99
2005;31;Male;Never Married;White; College Grad; Industrial;Muy Buena o Excelente; Yes;4.3;73.78
2007;56;Male;Married;Asian; College Grad; Information;Muy Buena o Excelente; Yes;4.83;125.12
2003;33;Male;Married;White; College Grad; Information;Muy Buena o Excelente; Yes;4.68;107.9
2005;36;Male;Never Married;White; College Grad; Industrial;Muy Buena o Excelente; No;4.11;60.74
2006;31;Male;Married;White; College Grad; Information;Muy Buena o Excelente; Yes;4.52;92.04
2004;55;Male;Married;White; Some College; Information;Muy Buena o Excelente; Yes;4.7;109.83
2005;48;Male;Married;White; College Grad; Information;Muy Buena o Excelente; No;4.2;66.96
2005;50;Male;Married;White; Some College; Information;Muy Buena o Excelente; Yes;4.74;114.48
2006;42;Male;Married;White; College Grad; Information;Muy Buena o Excelente; No;5.14;170.7
2008;25;Male;Never Married;White; Some College; Information;Muy Buena o Excelente; Yes;4.88;130.98
2008;55;Male;Married;White; HS Grad; Industrial;Regular o Mala; Yes;4.85;127.12
2004;28;Male;Never Married;White; Advanced Degree; Industrial;Muy Buena o Excelente; Yes;4.76;117.15
2003;30;Male;Married;Other;  < HS Grad; Information;Regular o Mala; No;4.81;123.09
2008;46;Male;Never Married;Black; College Grad; Industrial;Muy Buena o Excelente; Yes;4.79;120.59
2004;48;Male;Divorced;White; Advanced Degree; Information;Regular o Mala; Yes;4.88;130.98
2006;42;Male;Divorced;White; Some College; Industrial;Muy Buena o Excelente; Yes;4.4;81.28
2008;23;Male;Married;White; College Grad; Industrial;Muy Buena o Excelente; No;3.6;36.67
2003;60;Male;Married;White; Advanced Degree; Industrial;Muy Buena o Excelente; No;4.65;104.92
2008;34;Male;Married;Black;  < HS Grad; Information;Muy Buena o Excelente; Yes;4.31;74.41
2003;45;Male;Married;White; College Grad; Industrial;Muy Buena o Excelente; Yes;4.86;129.07
2007;28;Male;Never Married;White; Some College; Industrial;Regular o Mala; No;4.43;84.1
2004;33;Male;Married;White; Advanced Degree; Information;Muy Buena o Excelente; Yes;5.23;185.92
2008;58;Male;Married;White; HS Grad; Information;Muy Buena o Excelente; Yes;4.66;105.93
2008;47;Male;Married;White; Advanced Degree; Information;Muy Buena o Excelente; Yes;5.1;163.52
2003;24;Male;Never Married;White; Some College; Industrial;Muy Buena o Excelente; No;4.15;63.19
2008;56;Male;Married;White; College Grad; Industrial;Muy Buena o Excelente; No;4.9;134.71
2004;56;Male;Married;White; College Grad; Industrial;Muy Buena o Excelente; Yes;4.8;120.93
2005;23;Male;Never Married;Other; College Grad; Information;Regular o Mala; Yes;4.54;94.07
2003;56;Male;Married;White; Advanced Degree; Information;Regular o Mala; Yes;4.89;132.49
2003;45;Male;Married;White; College Grad; Information;Muy Buena o Excelente; Yes;4.89;133.23
2009;58;Male;Married;White; Some College; Information;Muy Buena o Excelente; Yes;4.98;145.14
2007;30;Male;Married;Asian; Advanced Degree; Information;Muy Buena o Excelente; Yes;4.78;118.88
2009;46;Male;Married;White; Advanced Degree; Industrial;Muy Buena o Excelente; No;5.01;150.33
2006;50;Male;Divorced;White; HS Grad; Industrial;Regular o Mala; Yes;4.59;98.27
2008;43;Male;Never Married;White; College Grad; Information;Muy Buena o Excelente; Yes;4.6;99.69
2006;37;Male;Married;White;  < HS Grad; Industrial;Muy Buena o Excelente; No;4.54;94.07
2003;49;Male;Divorced;White; Some College; Information;Muy Buena o Excelente; No;5.18;176.99
2009;31;Male;Married;Asian; College Grad; Information;Muy Buena o Excelente; Yes;5.11;166.32
2009;54;Male;Married;Asian; HS Grad; Industrial;Muy Buena o Excelente; Yes;4.54;94.07
2007;52;Male;Married;White; College Grad; Information;Muy Buena o Excelente; Yes;4.94;139.7
2003;70;Male;Married;White; HS Grad; Industrial;Regular o Mala; No;4.36;78.39
2005;30;Male;Married;White; Advanced Degree; Information;Muy Buena o Excelente; Yes;4.95;141.78
2006;44;Male;Married;White; HS Grad; Industrial;Muy Buena o Excelente; Yes;4.76;116.27
2003;34;Male;Married;Asian; College Grad; Information;Muy Buena o Excelente; Yes;500;148.41
2007;38;Male;Married;White; HS Grad; Industrial;Muy Buena o Excelente; No;4.48;87.98
2006;28;Male;Separated;White;  < HS Grad; Industrial;Regular o Mala; Yes;4.51;90.48
2005;38;Male;Married;White; Some College; Industrial;Muy Buena o Excelente; Yes;4.95;141.78
2003;39;Male;Married;White; HS Grad; Industrial;Regular o Mala; No;4.14;63.09
2008;52;Male;Never Married;White; College Grad; Information;Regular o Mala; Yes;4.18;65.11
2004;34;Male;Never Married;White; College Grad; Industrial;Muy Buena o Excelente; Yes;5.02;151.59
2003;33;Male;Married;White; College Grad; Information;Muy Buena o Excelente; Yes;4.81;123.09
2007;45;Male;Married;White; College Grad; Industrial;Regular o Mala; Yes;4.78;118.88
2006;58;Male;Married;White; HS Grad; Industrial;Regular o Mala; No;4.38;79.85
2007;63;Male;Married;White; College Grad; Industrial;Regular o Mala; No;4.02;55.54
2007;38;Male;Married;White; Advanced Degree; Information;Muy Buena o Excelente; Yes;4.6;99.69
2007;31;Male;Married;White; Some College; Industrial;Muy Buena o Excelente; No;4.6;99.69
2007;53;Male;Married;White; College Grad; Information;Muy Buena o Excelente; Yes;5.27;193.45
2009;21;Male;Never Married;Black; HS Grad; Information;Regular o Mala; Yes;4.63;102.87
2006;38;Male;Married;White; College Grad; Information;Muy Buena o Excelente; Yes;5.1;164.65
2004;18;Male;Never Married;White;  < HS Grad; Industrial;Regular o Mala; Yes;4.24;69.62
2008;28;Male;Never Married;White; Some College; Industrial;Muy Buena o Excelente; Yes;4.6;99.69
2003;33;Male;Never Married;White; College Grad; Information;Muy Buena o Excelente; Yes;4.74;114.48
2004;32;Male;Married;White; Some College; Industrial;Muy Buena o Excelente; No;4.6;99.69
2009;29;Male;Never Married;White; HS Grad; Information;Muy Buena o Excelente; Yes;4.56;95.23
2005;28;Male;Married;White;  < HS Grad; Industrial;Regular o Mala; Yes;4.41;82.68
2005;42;Male;Married;White; Advanced Degree; Information;Muy Buena o Excelente; Yes;4.76;116.94
2007;28;Male;Widoed;White;  < HS Grad; Information;Regular o Mala; No;400;54.6
2009;36;Male;Married;White; Advanced Degree; Information;Muy Buena o Excelente; Yes;4.93;138.3
2007;47;Male;Married;White; HS Grad; Information;Muy Buena o Excelente; Yes;4.88;130.98
2003;48;Male;Married;White; Advanced Degree; Information;Muy Buena o Excelente; Yes;5.1;163.52
2006;36;Male;Married;White; Advanced Degree; Industrial;Muy Buena o Excelente; Yes;5.19;179.21
2007;55;Male;Married;White; Some College; Information;Muy Buena o Excelente; Yes;4.84;126.32
2008;37;Male;Married;White;  < HS Grad; Industrial;Regular o Mala; No;4.26;70.48
2009;68;Male;Married;White; College Grad; Information;Regular o Mala; Yes;4.77;118.02
2003;65;Male;Married;Other; HS Grad; Industrial;Muy Buena o Excelente; No;4.27;71.32
2007;37;Male;Never Married;White; College Grad; Information;Muy Buena o Excelente; No;4.74;114.48
2007;33;Male;Married;White; College Grad; Information;Muy Buena o Excelente; Yes;4.93;138.3
2003;19;Male;Never Married;White; HS Grad; Information;Muy Buena o Excelente; No;400;54.6
2004;50;Male;Married;White; College Grad; Information;Muy Buena o Excelente; Yes;4.54;94.07
2004;22;Male;Never Married;White; Some College; Industrial;Regular o Mala; No;4.39;80.43
2004;40;Male;Married;White; Some College; Information;Muy Buena o Excelente; Yes;4.49;89.24
2008;45;Male;Married;White; Some College; Industrial;Muy Buena o Excelente; No;4.76;117.15
2009;36;Male;Married;White; Advanced Degree; Industrial;Muy Buena o Excelente; No;4.85;127.12
2005;37;Male;Married;Asian;  < HS Grad; Industrial;Muy Buena o Excelente; No;4.4;81.28
2003;24;Male;Never Married;White; HS Grad; Industrial;Regular o Mala; No;3.96;52.41
2007;66;Male;Married;Black;  < HS Grad; Information;Muy Buena o Excelente; Yes;4.6;99.69
2004;35;Male;Married;Asian;  < HS Grad; Industrial;Regular o Mala; No;4.15;63.19
2005;44;Male;Married;White; Some College; Industrial;Regular o Mala; Yes;4.62;101.82
2004;48;Male;Never Married;White; Some College; Information;Muy Buena o Excelente; Yes;4.68;107.9
2009;47;Male;Married;White; HS Grad; Information;Muy Buena o Excelente; No;3.94;51.24
2004;41;Male;Married;White; Some College; Industrial;Muy Buena o Excelente; Yes;4.6;99.69
2005;55;Male;Married;White; College Grad; Information;Muy Buena o Excelente; Yes;4.15;63.19
2008;74;Male;Divorced;Black; Advanced Degree; Information;Muy Buena o Excelente; No;500;148.41
2007;33;Male;Never Married;White; College Grad; Information;Muy Buena o Excelente; Yes;4.6;99.69
2003;62;Male;Married;White; Advanced Degree; Information;Regular o Mala; Yes;4.88;130.98
2004;56;Male;Divorced;White; HS Grad; Industrial;Regular o Mala; Yes;4.62;101.82
2006;29;Male;Never Married;White; Advanced Degree; Information;Muy Buena o Excelente; Yes;4.6;99.69
2009;56;Male;Never Married;Black;  < HS Grad; Information;Regular o Mala; No;4.38;79.85
2009;47;Male;Married;Black; Advanced Degree; Information;Muy Buena o Excelente; Yes;5.08;160.64
2005;45;Male;Married;White; HS Grad; Information;Muy Buena o Excelente; Yes;4.9;134.71
2007;44;Male;Married;White; College Grad; Information;Muy Buena o Excelente; Yes;5.08;160.64
2004;25;Male;Never Married;White; College Grad; Information;Muy Buena o Excelente; Yes;4.52;91.7
2005;45;Male;Divorced;Black; Some College; Information;Muy Buena o Excelente; No;4.32;75.36
2005;40;Male;Married;White; College Grad; Information;Muy Buena o Excelente; Yes;4.91;136.16
2003;56;Male;Married;White; HS Grad; Information;Regular o Mala; Yes;4.9;134.71
2005;56;Male;Married;Asian; Some College; Information;Muy Buena o Excelente; Yes;4.41;81.99
2003;47;Male;Married;Asian; College Grad; Industrial;Muy Buena o Excelente; Yes;5.18;176.99
2007;39;Male;Married;White; HS Grad; Industrial;Muy Buena o Excelente; Yes;4.78;118.89
2005;38;Male;Married;White; Some College; Information;Muy Buena o Excelente; Yes;4.8;121.26
2009;48;Male;Married;White; HS Grad; Industrial;Muy Buena o Excelente; No;4.54;94.07
2005;44;Male;Married;Black; HS Grad; Industrial;Regular o Mala; No;4.6;99.69
2003;42;Male;Married;White; Advanced Degree; Information;Muy Buena o Excelente; No;4.82;123.91
2009;55;Male;Married;White; HS Grad; Industrial;Muy Buena o Excelente; Yes;4.78;118.88
2006;61;Male;Never Married;White; Advanced Degree; Industrial;Muy Buena o Excelente; No;4.41;82.68
2006;39;Male;Married;White; HS Grad; Industrial;Regular o Mala; Yes;4.4;81.28
2005;30;Male;Married;Black; Some College; Industrial;Muy Buena o Excelente; No;4.65;104.92
